cust_id,year,state,date_issued,date_final,emp_duration,own_type,income_type,app_type,loan_purpose,interest_payments,grade,annual_pay,loan_amount,interest_rate,loan_duration,dti,total_pymnt,total_rec_prncp,recoveries,installment,is_default
113194,2007,Manipur,01/08/07,1082010,1,RENT,Low,INDIVIDUAL,other,Low,B,78000,3500,9.96, 36 months,11.06,4063.16,3500,0,112.87,0
113203,2007,Goa,01/08/07,1032008,0.5,RENT,Low,INDIVIDUAL,car,High,F,62000,10500,15.33, 36 months,1.72,2559.38,1684.03,0,365.69,1
113231,2007,Nagaland,01/07/07,1092010,2,MORTGAGE,Low,INDIVIDUAL,debt_consolidation,High,E,45000,5000,14.07, 36 months,0.53,6159.31,5000,0,171.05,0
113450,2007,Himachal Pradesh,01/08/07,1082010,2,MORTGAGE,Low,INDIVIDUAL,debt_consolidation,Low,C,62000,13000,10.91, 36 months,20,15301.08,13000,0,425.04,0
114133,2007,Sikkim,01/08/07,1092010,3,OWN,Low,INDIVIDUAL,car,Low,B,25000,8000,9.96, 36 months,0.48,9380.61,8000,0,257.99,0
114333,2007,Arunachal Pradesh,01/08/07,1092008,0.5,RENT,Low,INDIVIDUAL,credit_card,High,F,50000,10000,15.01, 36 months,7.75,4817.12,3106.25,311.4,346.73,1
99634,2007,Nagaland,01/07/07,1062010,10,MORTGAGE,Low,INDIVIDUAL,home_improvement,Low,D,32000,4000,13.12, 36 months,7.91,4898.14,4000,0,135.01,0
114408,2007,Gujarat,01/08/07,1082008,10,OWN,Low,INDIVIDUAL,credit_card,High,G,60000,8000,16.91, 36 months,20.22,3417.78,2233.1,0,284.86,1
114511,2007,Uttar Pradesh,01/08/07,1072010,1,RENT,Low,INDIVIDUAL,educational,High,E,15000,12000,14.38, 36 months,6.48,15102.21,12000,0,412.37,0
114642,2007,Arunachal Pradesh,01/08/07,1072009,0.5,MORTGAGE,Low,INDIVIDUAL,other,High,F,100000,19000,16.28, 36 months,9.79,15935.36,11054.89,480.52,670.59,1
114838,2007,Tripura,01/08/07,1112010,8,RENT,Low,INDIVIDUAL,debt_consolidation,Low,D,57000,6000,12.8, 36 months,15.2,7321.72,6000,0,201.6,0
114943,2007,Mizoram,01/08/07,1062009,0.5,RENT,Low,INDIVIDUAL,house,Low,C,7000,6000,10.91, 36 months,8.57,4444.41,3419.45,116.2,196.18,1
115363,2007,Punjab,01/08/07,1072009,3,MORTGAGE,High,INDIVIDUAL,credit_card,High,G,500000,25000,16.91, 36 months,7.47,11093.21,7492.05,281.62,489.61,1
115602,2007,West Bengal,01/08/07,1082008,2,MORTGAGE,High,INDIVIDUAL,debt_consolidation,High,F,270000,25000,15.33, 36 months,7.33,4298.78,2712.15,308.21,332.6,1
114469,2007,Manipur,01/08/07,1092008,1,RENT,Low,INDIVIDUAL,other,High,G,32000,13000,17.22, 36 months,15.98,6042.88,3946.17,0,464.95,1
76629,2007,West Bengal,01/06/07,1052008,1,RENT,Low,INDIVIDUAL,other,Low,D,40000,1275,12.49, 36 months,10,1341.96,340.5,872.89,42.65,1
76597,2007,Nagaland,01/07/07,1072010,1,MORTGAGE,High,INDIVIDUAL,other,Low,B,250000,5000,9.01, 36 months,10,5724.82,5000,0,159.03,0
137271,2007,Tripura,01/10/07,1062008,0.5,RENT,Low,INDIVIDUAL,debt_consolidation,Low,D,12500,2100,12.49, 36 months,14.4,2313.97,400.45,1753.49,70.25,1
70686,2007,Bihar,01/06/07,1062010,10,MORTGAGE,Low,INDIVIDUAL,other,Low,A,70000,5000,7.75, 36 months,8.81,5619.72,5000,0,156.11,0
97606,2007,Assam,01/07/07,1072010,4,RENT,Low,INDIVIDUAL,credit_card,High,G,68000,10500,16.91, 36 months,19.62,5127.4,4000,0,142.43,0
96844,2007,Bihar,01/07/07,1072010,7,MORTGAGE,Low,INDIVIDUAL,credit_card,Low,A,74000,5300,8.38, 36 months,14.37,6012.16,5300,0,167.02,0
96350,2007,Tamil Nadu,01/07/07,1072010,1,OWN,Low,INDIVIDUAL,credit_card,Low,C,30000,5000,11.22, 36 months,18.64,5911.76,5000,0,164.23,0
95250,2007,Mizoram,01/07/07,1042008,2,MORTGAGE,Low,INDIVIDUAL,credit_card,Low,C,55000,10000,10.59, 36 months,17.96,10717.36,10000,0,325.46,0
95198,2007,West Bengal,01/07/07,1062008,2,OWN,Low,INDIVIDUAL,credit_card,High,F,80000,20000,15.01, 36 months,3.11,8294.05,5191.34,667.24,693.45,1
94838,2007,Kerala,01/07/07,1072010,2,MORTGAGE,Medium,INDIVIDUAL,home_improvement,Low,C,200000,3000,10.28, 36 months,0,3498.56,3000,0,97.2,0
94406,2007,Rajasthan,01/07/07,1042009,10,MORTGAGE,Low,INDIVIDUAL,debt_consolidation,Low,D,60000,6725,13.12, 36 months,13.16,4210.94,3039.64,0,226.98,1
93277,2007,Kerala,01/07/07,1072010,0.5,MORTGAGE,Low,INDIVIDUAL,small_business,Low,B,25000,3000,8.7, 36 months,14.54,3418.88,3000,0,94.98,0
93061,2007,Tamil Nadu,01/07/07,1072010,8,MORTGAGE,Medium,INDIVIDUAL,debt_consolidation,Low,A,120000,5000,7.43, 36 months,2.29,5593.51,5000,0,155.38,0
93055,2007,Karnataka,01/07/07,1072010,0.5,OWN,Low,INDIVIDUAL,credit_card,Low,D,10000,2000,12.8, 36 months,3.48,2418.8,2000,0,67.2,0
92676,2007,Bihar,01/07/07,1072010,0.5,MORTGAGE,Medium,INDIVIDUAL,home_improvement,Low,A,180000,5000,8.07, 36 months,5.55,5645.9,5000,0,156.84,0
92666,2007,Madhya Pradesh,01/07/07,1072010,2,MORTGAGE,Medium,INDIVIDUAL,home_improvement,Low,B,180000,5000,9.33, 36 months,11.93,5751.34,5000,0,159.77,0
92552,2007,West Bengal,01/07/07,1072010,4,MORTGAGE,Low,INDIVIDUAL,debt_consolidation,Low,B,48000,5000,9.96, 36 months,8.03,5804.64,5000,0,161.25,0
92533,2007,Chhattisgarh,01/07/07,1072010,0.5,OWN,Low,INDIVIDUAL,credit_card,Low,C,80000,5000,11.22, 36 months,1.21,5911.92,5000,0,164.23,0
88854,2007,Bihar,01/08/07,1032008,4,RENT,Medium,INDIVIDUAL,house,Low,A,200000,5000,7.43, 36 months,0.28,5174.18,5000,0,155.38,0
98276,2007,Telangana,01/07/07,1072010,0.5,RENT,Low,INDIVIDUAL,educational,Low,A,8000,5400,7.75, 36 months,3,6069.3,5400,0,168.6,0
115606,2007,Meghalaya,01/08/07,1072008,1,RENT,Low,INDIVIDUAL,educational,High,F,18000,12800,15.01, 36 months,2.2,14358.74,12800,0,443.81,0
98360,2007,Jharkhand,01/07/07,1012009,10,OWN,Low,INDIVIDUAL,other,High,E,42000,2600,14.38, 36 months,16.91,1807.63,1159.26,202.07,89.35,1
88637,2007,Goa,01/06/07,1062010,0.5,RENT,Low,INDIVIDUAL,debt_consolidation,Low,C,20000,6000,10.59, 36 months,12.9,7029.53,6000,0,195.28,0
71623,2007,Maharashtra,01/06/07,1062010,0.5,NONE,Low,INDIVIDUAL,other,Low,A,75027,6500,8.38, 36 months,4,7373.83,6500,0,204.84,0
71823,2007,Madhya Pradesh,01/08/07,1082010,0.5,RENT,Medium,INDIVIDUAL,other,Low,A,120000,4350,8.07, 36 months,4,4911.68,4350,0,136.45,0
72176,2007,Madhya Pradesh,01/06/07,1062010,0.5,RENT,Medium,INDIVIDUAL,other,Low,B,110000,2525,9.33, 36 months,10,2904.3,2525,0,80.69,0
72197,2007,Maharashtra,01/08/07,1082010,0.5,RENT,Low,INDIVIDUAL,other,Low,B,98000,3900,9.33, 36 months,10,4485.99,3900,0,124.62,0
85961,2007,Telangana,01/06/07,1072010,0.5,RENT,Low,INDIVIDUAL,other,Low,B,36000,1200,9.01, 36 months,3.27,1373.88,1200,0,38.17,0
72323,2007,Madhya Pradesh,01/07/07,1032008,9,MORTGAGE,Low,INDIVIDUAL,other,Low,C,55000,5000,11.54, 36 months,10,1501.19,966.58,182.27,164.98,1
72998,2007,Bihar,01/06/07,1062010,0.5,RENT,Low,INDIVIDUAL,other,Low,B,12000,1000,9.64, 36 months,10,1155.53,1000,0,32.11,0
73003,2007,Assam,01/07/07,1022009,0.5,MORTGAGE,Medium,INDIVIDUAL,other,Low,B,150000,3200,9.96, 36 months,10,3590.53,3200,0,103.2,0
73582,2007,Sikkim,01/06/07,1032008,0.5,RENT,Medium,INDIVIDUAL,other,Low,C,180000,3500,10.28, 36 months,10,3719.34,3500,0,113.39,0
74014,2007,Tamil Nadu,01/06/07,1072010,2,RENT,Low,INDIVIDUAL,other,Low,C,32000,6450,11.22, 36 months,10,7798.6,6450,0,211.85,0
74323,2007,Goa,01/06/07,1052008,0.5,RENT,Low,INDIVIDUAL,other,Low,B,20000,6500,9.64, 36 months,10,7193.05,1791.32,4897.92,208.66,1
74505,2007,Punjab,01/06/07,1072010,0.5,RENT,Low,INDIVIDUAL,other,Low,B,6000,2000,9.96, 36 months,10,2322.36,2000,0,64.5,0
72819,2007,Assam,01/07/07,1072010,0.5,RENT,Low,INDIVIDUAL,other,Low,C,95000,7200,10.28, 36 months,10,5918.33,5075,0,164.42,0
119071,2007,Mizoram,01/08/07,1082010,6,MORTGAGE,Low,INDIVIDUAL,credit_card,High,E,50000,5000,14.7, 36 months,15.14,6212.59,5000,0,172.59,0
87023,2007,Chhattisgarh,01/06/07,1062010,0.5,OWN,Low,INDIVIDUAL,debt_consolidation,High,E,22000,7500,13.75, 36 months,14.29,9194.98,7500,0,255.43,0
98982,2007,Tripura,01/07/07,1072010,1,RENT,Low,INDIVIDUAL,credit_card,Low,B,73000,5000,9.01, 36 months,9.96,5724.93,5000,0,159.03,0
116040,2007,Tripura,01/08/07,1082010,3,MORTGAGE,Medium,INDIVIDUAL,debt_consolidation,Low,B,130000,5000,9.64, 36 months,8.55,5777.65,5000,0,160.51,0
116129,2007,Manipur,01/08/07,1082010,1,RENT,Low,INDIVIDUAL,debt_consolidation,Low,A,22000,2000,8.38, 36 months,13.09,2268.4,2000,0,63.03,0
116582,2007,Bihar,01/08/07,1082010,0.5,RENT,Low,INDIVIDUAL,debt_consolidation,High,E,35000,10000,13.75, 36 months,17.38,12259.58,10000,0,340.57,0
171362,2007,Haryana,01/12/07,1052008,6,MORTGAGE,Low,INDIVIDUAL,home_improvement,High,E,50800,8000,14.7, 36 months,19.13,1380.1,912.41,0,276.15,1
171674,2007,Goa,01/12/07,1032009,0.5,RENT,Low,INDIVIDUAL,debt_consolidation,High,G,36000,13000,17.22, 36 months,23.47,9369.95,8000,0,286.1,0
169354,2007,Bihar,01/12/07,1022009,1,OWN,Low,INDIVIDUAL,credit_card,Low,B,42000,5400,9.33, 36 months,16.09,5894.49,5400,0,172.55,0
137749,2007,Bihar,01/10/07,1042008,2,MORTGAGE,Low,INDIVIDUAL,debt_consolidation,High,E,58000,10475,14.38, 36 months,4.26,11184.93,10475,0,359.95,0
154305,2007,Himachal Pradesh,01/11/07,1112010,1,RENT,Low,INDIVIDUAL,other,Low,C,30000,3600,10.28, 36 months,7.88,4198.56,3599.99,0,116.64,0
137106,2007,Uttarakhand,01/10/07,1012008,0.5,OWN,Low,INDIVIDUAL,other,Low,C,31000,4275,10.28, 36 months,24.81,4382.28,4275,0,138.51,0
112496,2007,Goa,01/08/07,1082010,2,MORTGAGE,Low,INDIVIDUAL,debt_consolidation,Low,D,36153,3000,11.86, 36 months,7.47,3579.25,3000,0,99.44,0
112323,2007,Assam,01/07/07,1092010,0.5,RENT,Low,INDIVIDUAL,moving,Low,C,20000,3500,10.28, 36 months,1.5,4096.26,3500,0,113.39,0
112245,2007,West Bengal,01/07/07,1082010,6,RENT,Low,INDIVIDUAL,car,Low,A,40000,5000,7.43, 36 months,2.55,5593.39,5000,0,155.38,0
112216,2007,Karnataka,01/08/07,1032011,1,RENT,Low,INDIVIDUAL,debt_consolidation,Low,D,65000,12000,11.86, 36 months,7.14,14360.84,12000,0,397.75,0
111917,2007,Sikkim,01/08/07,1082010,1,RENT,Low,INDIVIDUAL,moving,Low,B,60000,6400,9.64, 36 months,7.72,7395.83,6400,0,205.45,0
111868,2007,West Bengal,01/08/07,1082010,0.5,RENT,Low,INDIVIDUAL,credit_card,Low,D,10000,3500,12.17, 36 months,14.76,4195.03,3500,0,116.54,0
111564,2007,Maharashtra,01/08/07,1092010,2,RENT,Low,INDIVIDUAL,educational,Low,C,40000,4100,10.59, 36 months,9.51,4805.81,4100,0,133.44,0
111307,2007,Andhra Pradesh,01/08/07,1072010,9,OWN,Low,INDIVIDUAL,credit_card,Low,D,75000,12000,12.49, 36 months,15,14448.99,12000,0,401.37,0
111227,2007,Maharashtra,01/08/07,1022010,6,MORTGAGE,Medium,INDIVIDUAL,credit_card,High,E,145000,20000,13.43, 36 months,10.15,20339.66,16077.42,0,678.08,1
171298,2007,Andhra Pradesh,01/12/07,1122010,0.5,RENT,Low,INDIVIDUAL,small_business,Low,A,43000,7000,7.43, 36 months,1.65,7830.06,7000,0,217.52,0
110627,2007,Mizoram,01/07/07,1072010,1,RENT,Low,INDIVIDUAL,debt_consolidation,High,F,17280,1000,15.01, 36 months,20,1247.75,1000,0,34.68,0
171220,2007,Mizoram,01/12/07,1032009,0.5,MORTGAGE,Low,INDIVIDUAL,small_business,Low,C,96000,20000,11.54, 36 months,17.81,18930.34,4882.92,11731.25,659.91,1
170990,2007,Rajasthan,01/12/07,1042010,0.5,OWN,Low,INDIVIDUAL,debt_consolidation,Low,D,20533,16000,12.8, 36 months,26.88,10772.14,9000,0,302.38,0
175056,2007,Himachal Pradesh,01/12/07,1012010,0.5,MORTGAGE,Medium,INDIVIDUAL,debt_consolidation,Low,C,108000,20000,10.59, 36 months,11.96,23067.08,20000,0,650.9,0
172802,2007,Odisha,01/12/07,1122010,10,RENT,Low,INDIVIDUAL,major_purchase,Low,B,48000,5000,8.7, 36 months,0.38,5698.69,5000,0,158.31,0
172644,2007,Kerala,01/12/07,1122010,2,MORTGAGE,Low,INDIVIDUAL,home_improvement,Low,C,97000,12000,10.28, 36 months,5.58,13995.87,12000,0,388.79,0
172472,2007,Madhya Pradesh,01/12/07,1122010,3,RENT,Low,INDIVIDUAL,debt_consolidation,High,E,40000,3000,13.75, 36 months,16.71,3677.57,3000,0,102.17,0
169504,2007,Arunachal Pradesh,01/12/07,1032010,1,MORTGAGE,Medium,INDIVIDUAL,debt_consolidation,Low,D,115200,13000,13.12, 36 months,10.33,15576.73,13000,0,438.78,0
169516,2007,Goa,01/12/07,1122010,9,OWN,Low,INDIVIDUAL,other,High,E,27600,4000,14.7, 36 months,22.61,4970.37,4000,0,138.08,0
169525,2007,Assam,01/12/07,1012011,8,RENT,Low,INDIVIDUAL,wedding,Low,B,38000,9000,9.96, 36 months,3.38,10478.57,9000,0,290.24,0
169701,2007,Odisha,01/12/07,1012011,4,RENT,Low,INDIVIDUAL,small_business,Low,C,30000,4800,10.28, 36 months,8.96,5599.8,4800,0,155.52,0
169793,2007,Bihar,01/12/07,1022009,0.5,OWN,Low,INDIVIDUAL,major_purchase,Low,D,86400,16000,11.86, 36 months,15.1,7894.73,5558.08,471.65,530.36,1
170397,2007,Rajasthan,01/12/07,1102009,0.5,RENT,Low,INDIVIDUAL,car,Low,A,14400,3000,7.43, 36 months,0,3291.93,2183.85,826.1,93.23,1
170488,2007,Meghalaya,01/12/07,1072010,2,MORTGAGE,Low,INDIVIDUAL,other,Low,B,24000,5000,8.7, 36 months,6.15,5681.85,5000,0,158.31,0
170528,2007,Haryana,01/12/07,1122010,1,MORTGAGE,Low,INDIVIDUAL,debt_consolidation,Low,C,30000,12000,10.59, 36 months,19.84,14059.07,12000,0,390.54,0
170602,2007,Jharkhand,01/12/07,1052009,10,MORTGAGE,High,INDIVIDUAL,other,Low,C,264000,5000,10.91, 36 months,8.3,2922.3,2153.36,129.37,163.49,1
170843,2007,Chhattisgarh,01/12/07,1122010,0.5,MORTGAGE,Medium,INDIVIDUAL,debt_consolidation,Low,C,165000,24000,10.59, 36 months,18.76,28118.53,23999.99,0,781.08,0
170929,2007,Himachal Pradesh,01/12/07,1012009,9,MORTGAGE,Low,INDIVIDUAL,credit_card,Low,D,52000,9000,12.49, 36 months,4.98,10042.31,9000,0,301.04,0
171171,2007,Punjab,01/12/07,1112008,1,RENT,Low,INDIVIDUAL,small_business,High,F,25000,16000,16.28, 36 months,5.09,3879.92,2557.41,0,352.96,1
89258,2007,Jharkhand,01/07/07,1072010,7,MORTGAGE,Medium,INDIVIDUAL,debt_consolidation,Low,A,150000,2000,7.12, 36 months,5.6,2226.9,2000,0,61.87,0
109824,2007,Rajasthan,01/07/07,1092008,1,RENT,Low,INDIVIDUAL,debt_consolidation,Low,D,49500,4200,12.49, 36 months,7.68,4716.03,4200,0,140.48,0
108473,2007,Sikkim,01/07/07,1072010,0.5,RENT,Low,INDIVIDUAL,educational,High,G,9600,1200,17.54, 36 months,8.38,1551.59,1200,0,43.11,0
113156,2007,Odisha,01/08/07,1082010,5,RENT,Low,INDIVIDUAL,credit_card,Low,A,98000,3500,8.07, 36 months,8.52,3952.13,3500,0,109.79,0
113179,2007,Gujarat,01/08/07,1052009,2,MORTGAGE,Low,INDIVIDUAL,wedding,Low,C,33990,1000,10.59, 36 months,14.47,703.95,544.02,21.29,32.55,1
119043,2007,Sikkim,01/08/07,1102009,2,MORTGAGE,Low,INDIVIDUAL,debt_consolidation,Low,C,40000,15450,11.22, 36 months,13.5,11652.75,8688.59,304.2,507.46,1
118872,2007,Madhya Pradesh,01/08/07,1082008,3,MORTGAGE,Low,INDIVIDUAL,debt_consolidation,High,G,70000,8950,16.91, 36 months,1.35,4114.5,2498.48,290.58,318.69,1
118823,2007,Haryana,01/08/07,1032010,0.5,MORTGAGE,Low,INDIVIDUAL,home_improvement,Low,D,32000,2500,12.8, 36 months,20,2220.61,1706.01,35.7,84,1
118533,2007,Uttarakhand,01/08/07,1032010,0.5,MORTGAGE,Low,INDIVIDUAL,home_improvement,Low,B,75000,2500,9.64, 36 months,20,2086.63,1730.83,0,80.26,1
118523,2007,Haryana,01/08/07,1022009,9,MORTGAGE,High,INDIVIDUAL,small_business,High,F,213000,6500,15.01, 36 months,6.45,4054.35,2886.21,0,225.37,1
118367,2007,Chhattisgarh,01/08/07,1082010,2,MORTGAGE,Medium,INDIVIDUAL,credit_card,High,G,120000,16225,17.86, 36 months,14.09,21073.88,16225,0,585.41,0
118024,2007,Kerala,01/08/07,1082010,0.5,MORTGAGE,Low,INDIVIDUAL,credit_card,High,E,100000,5000,13.75, 36 months,6.2,6129.73,5000,0,170.29,0
117863,2007,Assam,01/08/07,1052010,3,RENT,Low,INDIVIDUAL,debt_consolidation,Low,B,48000,8000,9.96, 36 months,15.13,9199.18,8000,0,257.99,0
117794,2007,Manipur,01/08/07,1032008,1,MORTGAGE,Medium,INDIVIDUAL,home_improvement,Low,A,150000,7500,8.07, 36 months,2.72,7826.48,7500,0,235.25,0
117249,2007,Himachal Pradesh,01/08/07,1062009,0.5,MORTGAGE,Low,INDIVIDUAL,credit_card,Low,A,70000,5000,7.43, 36 months,4.56,5495.77,5000,0,155.38,0
117192,2007,Meghalaya,01/08/07,1052010,0.5,RENT,Low,INDIVIDUAL,credit_card,Low,B,18000,2500,9.96, 36 months,2.33,2660.69,2260.31,2.34,80.63,1
117056,2007,Sikkim,01/08/07,1012010,1,MORTGAGE,High,INDIVIDUAL,home_improvement,Low,A,225000,5000,7.75, 36 months,6.48,5592.04,5000,0,156.11,0
117045,2007,Kerala,01/08/07,1092010,10,MORTGAGE,High,INDIVIDUAL,debt_consolidation,Low,A,300000,3500,7.43, 36 months,1,3915.37,3500,0,108.77,0
112806,2007,Tamil Nadu,01/08/07,1082010,7,RENT,Low,INDIVIDUAL,credit_card,High,E,45000,2000,13.43, 36 months,8.75,2440.71,2000,0,67.81,0
109355,2007,Karnataka,01/07/07,1072010,0.5,RENT,Low,INDIVIDUAL,credit_card,Low,C,20000,1200,11.54, 36 months,2.04,1425.37,1200,0,39.6,0
106360,2007,Nagaland,01/07/07,1072010,1,RENT,Low,INDIVIDUAL,debt_consolidation,High,F,52200,2700,15.96, 36 months,12.57,3415,2700,0,94.88,0
99987,2007,Tamil Nadu,01/07/07,1072010,0.5,RENT,Low,INDIVIDUAL,educational,Low,C,4000,1200,10.28, 36 months,8.1,1399.26,1200,0,38.88,0
107560,2007,Jharkhand,01/07/07,1072010,0.5,RENT,Low,INDIVIDUAL,debt_consolidation,High,E,13000,3200,14.7, 36 months,9.42,3976.08,3200,0,110.46,0
112747,2007,Arunachal Pradesh,01/08/07,1012009,0.5,RENT,Low,INDIVIDUAL,debt_consolidation,High,E,12000,3000,13.75, 36 months,19.3,1154.71,660.93,105.23,102.17,1
107136,2007,Goa,01/07/07,1042008,3,RENT,Low,INDIVIDUAL,small_business,Low,C,60000,12250,10.59, 36 months,17.12,13128.8,12250,0,398.69,0
106216,2007,Arunachal Pradesh,01/07/07,1042011,0.5,RENT,Low,INDIVIDUAL,other,High,E,40000,2000,14.38, 36 months,15.57,2496.19,2000,0,68.73,0
106079,2007,Sikkim,01/07/07,1032009,0.5,RENT,Low,INDIVIDUAL,educational,Low,B,13500,3500,9.96, 36 months,16.44,3941.83,3500,0,112.87,0
104634,2007,Mizoram,01/07/07,1052008,0.5,MORTGAGE,Low,INDIVIDUAL,debt_consolidation,High,F,20000,9000,15.96, 36 months,15.66,10074.96,9000,0,316.25,0
104530,2007,Karnataka,01/07/07,1092009,0.5,RENT,Low,INDIVIDUAL,credit_card,High,E,10000,1250,14.38, 36 months,5.64,1516.75,1250,0,42.96,0
103846,2007,Himachal Pradesh,01/07/07,1102008,3,RENT,Low,INDIVIDUAL,moving,Low,C,61000,5000,11.22, 36 months,14.48,991.09,721.06,0,164.23,1
103507,2007,Sikkim,01/07/07,1072010,3,RENT,Low,INDIVIDUAL,credit_card,High,F,86000,4000,15.33, 36 months,20.12,5014.73,4000,0,139.31,0
103478,2007,Arunachal Pradesh,01/07/07,1122008,1,RENT,Low,INDIVIDUAL,educational,High,E,40000,1800,14.38, 36 months,4.11,1038.74,686.41,50.56,61.86,1
102823,2007,Nagaland,01/07/07,1072010,1,RENT,Low,INDIVIDUAL,debt_consolidation,Low,D,31000,4500,12.49, 36 months,9.56,5417.99,4500,0,150.52,0
102376,2007,Nagaland,01/07/07,1062010,2,RENT,Low,INDIVIDUAL,small_business,Low,C,48000,25000,10.59, 36 months,4.05,29269.66,25000,0,813.65,0
101579,2007,Bihar,01/07/07,1072010,0.5,RENT,Low,INDIVIDUAL,small_business,Low,C,27376,10000,10.28, 36 months,10.7,11662.13,10000,0,323.98,0
100214,2007,Jharkhand,01/08/07,1082010,0.5,OWN,Low,INDIVIDUAL,credit_card,Low,A,45000,5000,7.43, 36 months,1.12,5593.46,5000,0,155.38,0
100134,2007,Sikkim,01/07/07,1072010,1,RENT,Low,INDIVIDUAL,credit_card,Low,D,32000,1000,12.49, 36 months,5.21,1203.76,1000,0,33.45,0
99982,2007,Punjab,01/07/07,1072010,0.5,RENT,Low,INDIVIDUAL,credit_card,High,E,65000,10000,14.7, 36 months,6.37,12425.81,10000,0,345.18,0
176610,2007,Bihar,01/12/07,1122010,0.5,RENT,Low,INDIVIDUAL,debt_consolidation,Low,B,25000,2975,9.96, 36 months,14.16,3453.48,2975,0,95.94,0
90106,2007,Chhattisgarh,01/07/07,1082010,1,RENT,Low,INDIVIDUAL,educational,High,E,50000,10000,14.7, 36 months,7.22,12621.91,10000,0,345.18,0
90395,2007,Uttarakhand,01/07/07,1042008,0.5,MORTGAGE,Low,INDIVIDUAL,debt_consolidation,Low,A,100000,5000,8.07, 36 months,2.3,5272.08,5000,0,156.84,0
122913,2007,Uttarakhand,01/08/07,1092010,1,MORTGAGE,Low,INDIVIDUAL,debt_consolidation,High,E,22000,6000,14.7, 36 months,20,7487.09,6000,0,207.11,0
122718,2007,Madhya Pradesh,01/08/07,1042008,1,RENT,Low,INDIVIDUAL,credit_card,High,F,90000,18500,15.33, 36 months,5.24,20042.58,18500,0,644.3,0
122637,2007,Uttarakhand,01/08/07,1092010,1,OWN,Low,INDIVIDUAL,other,Low,A,61800,4000,7.75, 36 months,3.46,4495.79,4000,0,124.89,0
